id,símbolo,nombre,precio_usd,market_cap_usd,volumen_24h_usd,variación_24h_pct
abel-finance,abel,ABEL Finance,0.00444574,0.0,16287.74,0.02635
aave-enj-v1,aenj,Aave ENJ v1,0.066949,0.0,0.0,3.3639
1sol,1sol,1Sol,0.00210064,0.0,10.27,0.01501
agent-humpty-dumpty,ahd,Agent Humpty Dumpty,6.08e-06,0.0,0.0,
aave-mkr-v1,amkr,Aave MKR v1,1993.5,0.0,0.0,1.08794
aave-v3-crv,acrv,Aave v3 CRV,0.528371,0.0,0.0,2.59225
aave-amm-bptwbtcweth,aammbptwbtcweth,Aave AMM BptWBTCWETH,262919.0,0.0,0.0,2.3228
aave-amm-uniuniweth,aammuniuniweth,Aave AMM UniUNIWETH,695.08,0.0,0.0,2.30309
aave-amm-dai,aammdai,Aave AMM DAI,0.99927,0.0,0.0,-0.06222
aipocalypto,aipo,Aipocalypto,0.00440656,0.0,5218.3,
aave-xsushi,axsushi,Aave XSUSHI,0.930191,0.0,0.0,1.20138
01coin,zoc,01coin,9.543e-05,0.0,6.28,
agri-future-token,agrf,AGRI FUTURE TOKEN,1.59,0.0,189052.0,-3.34355
ai-com,ai.com,AI.COM,1.63e-06,0.0,1.28,
aave-balancer-pool-token,abpt,Aave Balancer Pool Token,0.339545,0.0,0.0,3.33382
aid,aid,AID,0.357156,0.0,3446.91,4.74059
aitaxbot,aitax,AITaxBot,0.00136721,0.0,501.14,6.2756
aardvark-2,vark,Aardvark,0.00029333,0.0,188.12,1.98027
aicoin-2,ai,AICoin,1.431e-05,0.0,42.94,-0.32898
4-next-unicorn,nxtu,4 Next Unicorn,0.0024303,0.0,87.44,1.67521
5th-scape,$5scape,5th Scape,0.00016232,0.0,98206.0,-2.10901
aave-ren,aren,Aave REN,0.00878873,0.0,0.0,1.91622
aave-v3-weth,aweth,Aave v3 WETH,2519.07,0.0,26808.0,3.14473
aada-finance,lenfi,Lenfi,0.15268,0.0,8425.11,7.26117
aegents,aegnt,Aegents,0.0001443,0.0,154.49,
777fuckilluminatiworldwid,fiw,777FuckIlluminatiWorldwid,0.00019106,0.0,851.35,3.69047
aave-snx,asnx,Aave SNX,0.593159,0.0,0.0,1.38288
achmed-heart-and-sol,achmed,ACHMED - HEART AND SOL,0.00293299,0.0,16.54,3.88113
akita-inu,akita,Akita Inu,4.6869e-08,0.0,204880.0,-0.07303
a-fund-baby,baby,A Fund Baby,0.00156662,0.0,31.28,3.25153
aave-v3-wbtc,awbtc,Aave v3 WBTC,107560.0,0.0,1.037,0.13115
airtnt,airtnt,AirTnT,2.87e-06,0.0,797.47,
aave-amm-uniyfiweth,aammuniyfiweth,Aave AMM UniYFIWETH,19834.61,0.0,0.0,2.82329
aave-amm-unidaiusdc,aammunidaiusdc,Aave AMM UniDAIUSDC,2271421.0,0.0,0.0,0.25548
aethra-ai,aethra,Aethra AI,0.00083083,0.0,729.0,-6.65297
aave-polygon-wmatic,amwmatic,Aave Polygon WMATIC,0.192116,0.0,1.21,7.29189
abc-pos-pool,abc,ABC PoS Pool,0.31636,0.0,159.76,2.93378
ai-nexus,a1x,AI Nexus,0.00222786,0.0,95802.0,-1.21919
aiccelerate,aicc,Aiccelerate,0.00095097,0.0,176.12,3.50286
aisweatshop,defai,AISweatShop,0.00648935,0.0,196.54,3.11785
aave-v3-cbeth,acbeth,Aave v3 cbETH,2776.01,0.0,0.0,3.37992
1hive-water,water,1Hive Water,0.073791,0.0,156.16,1.69496
aave-v3-wavax,awavax,Aave v3 WAVAX,17.59,0.0,15.44,
aave-amm-unilinkweth,aammunilinkweth,Aave AMM UniLINKWETH,699.98,0.0,0.0,2.9282
aave-v3-reth,areth,Aave v3 rETH,2868.48,0.0,0.0,3.36155
addickted,dic,adDICted,0.00074989,0.0,1.027,0.26386
aave-v3-maticx,amaticx,Aave v3 MaticX,0.223363,0.0,0.0,7.19873
aave-bal,abal,Aave BAL,1.002,0.0,0.0,3.32339
accumulated-finance-staked-manta,stmanta,Accumulated Finance Staked MANTA,0.75195,0.0,75.97,
aave-uni,auni,Aave UNI,7.29,0.0,0.0,1.27624
abey,abey,Abey,0.087275,0.0,312700.0,-1.81735
